system   D            wsystem.c:583  maybe_parent_dir                 [   0.00068] Also searching C:\Users\apaar\Documents\Crowbot\Crowbot\
system   D            wsystem.c:633  _al_win_safe_load_library        [   0.00092] PathFindOnPath found: C:\Windows\system32\d3d9.dll
system   D            wsystem.c:544  load_library_at_path             [   0.00093] Calling LoadLibrary C:\Windows\system32\d3d9.dll
system   I            wsystem.c:547  load_library_at_path             [   0.02228] Loaded C:\Windows\system32\d3d9.dll
d3d      I         d3d_disp.cpp:695  _al_d3d_init_display             [   0.06604] Render-to-texture: 1
system   I             system.c:272  al_install_system                [   0.06608] Allegro version: 5.0.8
display  W   display_settings.c:654  _al_deduce_color_format          [   0.06726] Could not deduce color format, sizes = (0,0,0,0,0), shifts = (0,0,0,0)
display  W   display_settings.c:654  _al_deduce_color_format          [   0.06809] Could not deduce color format, sizes = (0,0,0,0,0), shifts = (0,0,0,0)
d3d      I         d3d_disp.cpp:1732 d3d_create_display_locked        [   0.07030] faux_fullscreen=0
d3d      D         d3d_disp.cpp:1733 d3d_create_display_locked        [   0.07033] al_display=002FB498
d3d      D         d3d_disp.cpp:1734 d3d_create_display_locked        [   0.07034] al_display->vt=002FB3D0
d3d      I d3d_display_formats.cpp:144  _al_d3d_generate_display_format_list [   0.07145] found 288 format combinations
display  D   display_settings.c:191  debug_display_settings           [   0.07147] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.07148] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.07150] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.07151] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.07152] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.07153] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.07154] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.07155] Score is : 593
